"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"42","33-5210","37","24","19","2","1386","0","0","0","0","0","0","0","0","0","1219","0","0","0","0","0","0","0","0","0","0","0","789","0","0","0","0","371","0","819","0","374","5","846","6","16","3","315","592","551","579","589","616","527","466","703","603","571","561","586","795","339","700","439","549","605","679","479","445","700","563","575","0","821","0","0","356"
"42","33-5310","37","24","19","2","5471","0","0","0","0","0","0","0","0","0","4896","0","0","0","0","0","0","0","0","0","0","0","3495","0","0","0","0","1165","0","3571","0","1210","16","3664","27","76","17","1021","2031","2594","1863","2858","2254","2382","1389","3321","2132","2577","2172","2423","3271","1293","2349","2274","2543","2116","2444","2155","1705","2899","1930","2618","0","3575","0","0","1150"
"42","34-3477","37","24","19","2","148","0","0","0","0","0","0","0","0","0","133","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","75","0","54","0","76","0","64","1","3","0","64","85","39","93","34","91","35","74","51","90","37","78","45","68","56","97","29","41","86","95","30","56","65","79","46","0","53","0","0","77"
"42","34-3478","37","24","19","2","216","0","0","0","0","0","0","0","0","0","202","0","0","0","0","0","0","0","0","0","0","0","77","0","0","0","0","118","0","73","0","129","0","81","0","0","0","118","126","67","132","61","141","57","123","75","147","51","103","92","99","95","148","50","70","125","150","51","105","89","129","65","0","83","0","0","115"
"42","34-7710","37","24","19","2","3601","0","0","0","0","0","0","0","0","0","3332","0","0","0","0","0","0","0","0","0","0","0","1615","0","0","0","0","1554","0","1629","0","1628","15","1776","18","38","9","1418","1880","1306","2046","1171","2165","1010","1665","1549","2129","1095","1731","1406","1838","1295","2208","969","1220","1950","2155","1037","1523","1630","1904","1209","0","1705","0","0","1508"
"42","35-3580","37","24","19","2","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","3","0","1","0","3","0","0","0","1","4","0","2","2","4","0","3","1","4","0","2","2","4","0","3","1","1","3","2","1","2","2","2","1","0","2","0","0","2"
"42","35-7910","37","24","19","2","3312","0","0","0","0","0","0","0","0","0","3035","0","0","0","0","0","0","0","0","0","0","0","1549","0","0","0","0","1340","0","1558","0","1414","10","1654","8","57","3","1265","1699","1207","1826","1126","1958","935","1505","1438","1921","1032","1667","1225","1718","1168","2004","901","1166","1730","2003","903","1446","1455","1781","1082","0","1638","0","0","1306"
"42","36-0181","35","24","19","2","293","0","0","0","0","0","0","0","0","0","264","0","0","0","0","0","0","0","0","0","0","0","94","0","0","0","0","167","0","107","0","154","1","116","0","7","0","136","158","94","164","94","176","80","147","105","170","84","143","109","127","126","186","68","89","167","172","82","123","129","166","81","0","116","0","0","143"
"42","36-0182","35","24","19","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","36-0183","35","24","19","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","2","0","2","0","2","0","2","0","2","0","2","2","0","0","2","2","0","0","2","0","2","0","2","0","2","0","0","0"
